Наименование НКО,Учетный номер,ОРГН,Форма,Вид отчета,Период,URL
"Филиал Объединения ""Пенал Реформ Интернешнл"" в Российской Федерации (Нидерланды)",0016020097,,Организация,СП0003,04.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=14457301
"Филиал Объединения ""Пенал Реформ Интернешнл"" в Российской Федерации (Нидерланды)",0016020097,,Организация,СП0001,04.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=14454301
"Филиал Объединения ""Пенал Реформ Интернешнл"" в Российской Федерации (Нидерланды)",0016020097,,Организация,СП0003,03.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=14336101
"Филиал Объединения ""Пенал Реформ Интернешнл"" в Российской Федерации (Нидерланды)",0016020097,,Организация,СП0003,03.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=14334901
"Филиал Объединения ""Пенал Реформ Интернешнл"" в Российской Федерации (Нидерланды)",0016020097,,Организация,СП0003,03.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=14333601
"Филиал Объединения ""Пенал Реформ Интернешнл"" в Российской Федерации (Нидерланды)",0016020097,,Организация,СП0002,02.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=14206501
"Филиал Объединения ""Пенал Реформ Интернешнл"" в Российской Федерации (Нидерланды)",0016020097,,Организация,СП0002,02.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=14206101
"Филиал некоммерческой ассоциации ""Медесан сон фронтиер"" (Нидерланды) в Российской Федерации",0016100024,,Ассоциация,СП0002,02.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=14150301
"Филиал Объединения ""Пенал Реформ Интернешнл"" в Российской Федерации (Нидерланды)",0016020097,,Организация,СП0003,01.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=14084001
"Филиал Объединения ""Пенал Реформ Интернешнл"" в Российской Федерации (Нидерланды)",0016020097,,Организация,СП0003,01.04.2013,http://unro.minjust.ru/NKOReports.aspx?mode=show_pdf_report&id=14080101
